icao,lat,lon,name,country,type,tz
AAXX,-67.56694,-68.12699,Aeródromo de Punto Rothera,AQ,s,
AGAF,-9.19139,160.94861,Afutara Aerodrome,SB,s,Pacific/Guadalcanal
AGAR,-9.86054,161.97955,Ulawa Airport,SB,s,Pacific/Guadalcanal
AGAT,-8.87333,161.01100,Uru Harbour Airport,SB,s,Pacific/Guadalcanal
AGBA,-7.91278,156.70599,Barakoma Airport,SB,s,Pacific/Bougainville
AGBT,-8.56203,158.11931,Batuna Aerodrome,SB,s,Pacific/Guadalcanal
AGEV,-7.57583,156.59700,Geva Airport,SB,s,Pacific/Bougainville
AGGA,-8.70257,160.68201,Gwaunaru'u Airport,SB,s,Pacific/Guadalcanal
AGGB,-11.30222,159.79833,Bellona/Anua Airport,SB,s,Pacific/Guadalcanal
AGGC,-6.71194,156.39611,Choiseul Bay Airport,SB,s,Pacific/Bougainville
AGGE,-6.99075,155.88666,Ballalae Airport,SB,s,Pacific/Bougainville
AGGF,-8.10750,159.57700,Fera/Maringe Airport,SB,s,Pacific/Guadalcanal
AGGH,-9.42800,160.05499,Honiara International Airport,SB,l,Pacific/Guadalcanal
AGGI,-9.74750,159.83900,Babanakira Airport,SB,s,Pacific/Guadalcanal
AGGJ,-9.86833,160.41056,Avu Avu Airport,SB,s,Pacific/Guadalcanal
AGGK,-10.44970,161.89799,Ngorangora Airport,SB,s,Pacific/Guadalcanal
AGGL,-10.72030,165.79500,Santa Cruz/Graciosa Bay/Luova Airport,SB,s,
AGGM,-8.32797,157.26300,Munda Airport,SB,m,
AGGN,-8.09778,156.86400,Nusatupe Airport,SB,s,Pacific/Bougainville
AGGO,-7.41694,155.56500,Mono Airport,SB,s,Pacific/Bougainville
AGGP,-9.64167,161.42500,Parasi Airport,SB,s,Pacific/Guadalcanal
AGGR,-11.55000,160.06278,Rennell/Tingoa Airport,SB,s,
AGGS,-8.57889,157.87601,Sege Airport,SB,s,
AGGT,-10.84799,162.45411,Santa Ana Airport,SB,s,
AGGU,-9.86167,160.82500,Marau Airport,SB,s,Pacific/Guadalcanal
AGGV,-7.58556,158.73100,Suavanao Airport,SB,s,Pacific/Guadalcanal
AGGY,-9.09282,159.21841,Yandina Airport,SB,s,Pacific/Guadalcanal
AGIN,-9.80581,159.96272,Isuna Heliport,SB,h,Pacific/Guadalcanal
AGKG,-7.33050,157.58500,Kaghau Airport,SB,s,
AGKU,-8.02620,156.94783,Kukudu Airport,SB,s,Pacific/Bougainville
AGKW,-8.36051,160.77513,Kwailabesi Airport,SB,s,Pacific/Guadalcanal
AGLM,-10.29683,166.32732,Lomlom Airport,SB,s,
AGNA,-10.67580,162.20490,Nana Airport,SB,s,
AGOB,-8.32501,160.80051,Manaoba Airport,SB,s,Pacific/Guadalcanal
AGOK,-8.73836,158.20284,Gatokae Aerodrome,SB,s,Pacific/Guadalcanal
AGRC,-8.12639,157.14301,Ringi Cove Airport,SB,s,Pacific/Bougainville
AGRM,-8.16806,157.64301,Ramata Airport,SB,s,
AGTI,-9.10800,160.14917,Tulaghi Heliport,SB,h,Pacific/Guadalcanal
AGVH,-8.50846,157.68999,Viru Harbour Airstrip,SB,s,
ANYN,-0.54789,166.91952,Nauru International Airport,NR,m,Pacific/Nauru
AQBC,-74.73937,164.03539,Boulder Clay Runway,AQ,m,
ATUA,-3.38600,141.58680,(Duplicate) Utai Airstrip,PG,s,Asia/Jayapura
AYAA,-4.10111,141.67000,Ama Airport,PG,s,Pacific/Port_Moresby
AYAB,-5.72028,144.92111,Ambaluwa Airstrip,PG,s,Pacific/Port_Moresby
AYAC,-3.94000,141.83278,Akwom Airstrip,PG,s,Pacific/Port_Moresby
AYAD,-7.02083,145.82222,Ande Airstrip,PG,s,Pacific/Port_Moresby
AYAE,-6.22998,144.66418,Mount Aue Airport,PG,s,Pacific/Port_Moresby
AYAF,-9.13867,148.39070,Afore Airstrip,PG,s,Pacific/Port_Moresby
AYAG,-9.92771,149.38995,Agaun Airport,PG,s,Pacific/Port_Moresby
